Domain Name,Domain Type,Agency,City,State
www.leiner.at,Österreichisches E-Commerce-Gütezeichen,Rudolf Leiner GmbH,,
www.sbj.de,Österreichisches E-Commerce-Gütezeichen,S.B.J - Sport und Freizeit,,
www.saferinternet.at,Österreichisches E-Commerce-Gütezeichen,Saferinternet.at,,
www.sagafoto.at,Österreichisches E-Commerce-Gütezeichen,sagafoto,,
www.schachversand.at,Österreichisches E-Commerce-Gütezeichen,Schachversand Huber,,
webshop.wko.at,Österreichisches E-Commerce-Gütezeichen,Service GmbH der WKO,,
www.personalshop.com,Österreichisches E-Commerce-Gütezeichen,Servus Handels und Verlagsgesellschaft m.b.H.,,
www.futterkisterl-tirol.at,Österreichisches E-Commerce-Gütezeichen,Shoppingworld 4 Animals,,
www.sieh-an.at,Österreichisches E-Commerce-Gütezeichen,Sieh an! Handelsgesellschaft mbH,,
www.schutzklick.at,Österreichisches E-Commerce-Gütezeichen,simplesurance GmbH,,
habhunger.at,Österreichisches E-Commerce-Gütezeichen,Sinkofi OG,,
www.skribo.at,Österreichisches E-Commerce-Gütezeichen,SKRIBO GmbH,,
www.smarttec.at,Österreichisches E-Commerce-Gütezeichen,SmartTec Vertriebs GmbH,,
shop.sparxsystems.de,Österreichisches E-Commerce-Gütezeichen,SparxSystems Software GmbH,,
www.sportgigant.at,Österreichisches E-Commerce-Gütezeichen,Sportgigant Lindpointner KG,,
www.maschinen-gailer.at,Österreichisches E-Commerce-Gütezeichen,Stefan Gailer,,
www.steiner1888.at,Österreichisches E-Commerce-Gütezeichen,STEINER GmbH & Co KG,,
www.sterntalerhof.at,Österreichisches E-Commerce-Gütezeichen,Sterntalerhof - Verein für ganzheitliche Lebensbegleitung,,
www.swkbank.at,Österreichisches E-Commerce-Gütezeichen,Süd-West-Kreditbank Finanzierung GmbH,,
shop.t-mobile.at,Österreichisches E-Commerce-Gütezeichen,T-Mobile Austria GmbH,,
www.shop.telering.at,Österreichisches E-Commerce-Gütezeichen,T-Mobile Austria GmbH,,
www.t-stripe.com/shop,Österreichisches E-Commerce-Gütezeichen,T-STRIPE GmbH,,
www.therme-geinberg.at,Österreichisches E-Commerce-Gütezeichen,TBG Thermenzentrum Geinberg BetriebsgmbH,,
www.tec-it.com,Österreichisches E-Commerce-Gütezeichen,TEC-IT Datenverarbeitung GmbH,,
www.gartenxxl.at,Österreichisches E-Commerce-Gütezeichen,Tengelmann E-Stores GmbH,,
www.mountainbiker.at,Österreichisches E-Commerce-Gütezeichen,THEMA:bike,,
www.bikepalast.com,Österreichisches E-Commerce-Gütezeichen,THEMA:bike GmbH.,,
www.dream-shop.at,Österreichisches E-Commerce-Gütezeichen,Thomas Kitzler,,
www.tirendo.at,Österreichisches E-Commerce-Gütezeichen,Tirendo Holding GmbH,,
www.kletterladen.at,Österreichisches E-Commerce-Gütezeichen,tirolclimbing - Thomas Pittl,,
www.tiroled.at,Österreichisches E-Commerce-Gütezeichen,TIROLED LTD. Niederlassung Österreich,,
www.tonerdumping.at,Österreichisches E-Commerce-Gütezeichen,Tonerdumping Österreich,,
www.tonershop.at,Österreichisches E-Commerce-Gütezeichen,Tonershop GmbH & Co KG,,
www.trendsitter.at,Österreichisches E-Commerce-Gütezeichen,Trendsitter GmbH,,
www.patronen-toner.at,Österreichisches E-Commerce-Gütezeichen,TSH Group KG,,
www.1-2-fly.at,Österreichisches E-Commerce-Gütezeichen,TUI Austria Holding GmbH,,
www.gulet.at,Österreichisches E-Commerce-Gütezeichen,TUI Austria Holding GmbH,,
www.tui.at,Österreichisches E-Commerce-Gütezeichen,TUI Austria Holding GmbH,,
www.magiclife.com,Österreichisches E-Commerce-Gütezeichen,TUI Deutschland GmbH,,
www.bankaustria.at,Österreichisches E-Commerce-Gütezeichen,UniCredit Bank Austria,,
www.universal.at,Österreichisches E-Commerce-Gütezeichen,Universal Versand GmbH,,
www.vantage-fighting.com,Österreichisches E-Commerce-Gütezeichen,Vantage-Fighting K670 GmbH,,
www.vav.at,Österreichisches E-Commerce-Gütezeichen,VAV Versicherungs-Aktiengesellschaft,,
www.vbs-hobby.at,Österreichisches E-Commerce-Gütezeichen,VBS Hobby Service GmbH,,
www.ruefa.at,Österreichisches E-Commerce-Gütezeichen,Verkehrsbüro-Ruefa Reisen GmbH,,
www.tyrolia.at,Österreichisches E-Commerce-Gütezeichen,Verlagsanstalt Tyrolia Gesellschaft m.b.H,,
www.vienna-camera.com,Österreichisches E-Commerce-Gütezeichen,VIE-Camera Handels GmbH,,
www.kreditdoktor.at,Österreichisches E-Commerce-Gütezeichen,VIEM Holding GmbH,,
www.harrer.at,Österreichisches E-Commerce-Gütezeichen,Vinzenz Harrer GmbH,,
www.viva-vinum.de,Österreichisches E-Commerce-Gütezeichen,viva-vinum GmbH,,
www.walden.at,Österreichisches E-Commerce-Gütezeichen,walden GmbH,,
www.wd-shop.info,Österreichisches E-Commerce-Gütezeichen,WD Wet-Dry GmbH,,
www.weddix.de,Österreichisches E-Commerce-Gütezeichen,weddix GmbH,,
www.bikini-und-co.com,Österreichisches E-Commerce-Gütezeichen,Wellbeing & Co Handels GmbH,,
www.western-country-bekleidung.com,Österreichisches E-Commerce-Gütezeichen,Western Country Bekleidung,,
shop.wienerlinien.at,Österreichisches E-Commerce-Gütezeichen,Wiener Linien GmbH & Co KG,,
